Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3353101,7/8/2012,8:00 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3353113,8/7/2012,7:45 AM,WORCESTER,Not Reported,GREENWOOD STREET,,WEBSTER 1ST,Local police
3353122,8/6/2012,2:30 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3359065,10/27/2012,11:00 AM,WORCESTER,Not Reported,GRANITE STREET / Rte 20,,,Local police
3359107,10/25/2012,6:30 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,,,Local police
3359128,10/26/2012,11:40 AM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,FORSBERG STREET,Local police
3359179,10/21/2012,2:09 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3360345,10/16/2012,9:20 AM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3360781,10/11/2012,2:18 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,,Local police
3360785,10/10/2012,6:17 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,GREENWOOD STREET,,Local police
3360812,10/12/2012,4:41 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3363356,1/30/2013,6:41 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,BEE ZEE GAS,Local police
3363361,1/22/2013,4:27 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3364714,9/4/2012,1:55 PM,WORCESTER,Property damage only (none injured),MILLBURY STREET,Rte 146,,Local police
3364842,9/4/2012,12:00 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / ROSE LANE,,,Local police
3365931,12/9/2012,9:33 PM,WORCESTER,Non-fatal injury,GRAFTON STREET,,,Local police
3366183,12/8/2012,1:45 PM,WORCESTER,Non-fatal injury,Rte 20 / GREENWOOD STREET,,,Local police
3366874,12/21/2012,5:04 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3366944,3/7/2013,5:35 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20,MASSASOIT ROAD,,State police
3367108,12/18/2012,5:44 PM,WORCESTER,Property damage only (none injured),ROSE LANE,,,Local police
3367224,12/15/2012,4:34 PM,WORCESTER,Property damage only (none injured),MILBURY ST,,PKLOT,Local police
3367256,12/18/2012,4:58 PM,WORCESTER,Property damage only (none injured),GRANITE STREET / SOUTHWEST CUTOFF,,,Local police
3368841,12/15/2012,11:15 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,PAPA GINOS,Local police
4000630,9/13/2014,7:01 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
4081729,3/10/2015,2:10 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / ROSE LANE,,,Local police
3154937,3/1/2011,9:15 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF Rte 20 E,,BALLARD MACK,Local police
3237569,2/18/2012,5:43 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3258231,1/4/2012,2:55 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3260733,1/6/2012,5:15 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3264513,9/26/2012,6:00 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,GREENWOOD STREET,ROUTE 20 EASTBOUND AT GREENWOOD,State police
